symme-unsymme optimized array
5.000
11
0
Type of measurement (0=app. resistivity,1=resistance)
0
4092
1
0
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      15.000,     0.000   101.9784
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      20.000,     0.000    92.0093
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      25.000,     0.000   102.2400
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      20.000,     0.000    92.9147
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      25.000,     0.000   113.3372
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      30.000,     0.000   101.8755
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      35.000,     0.000   108.9252
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      40.000,     0.000   104.8671
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      25.000,     0.000   106.2979
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      30.000,     0.000   116.1156
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      35.000,     0.000   126.6568
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      40.000,     0.000   130.3564
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      45.000,     0.000   128.0799
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      50.000,     0.000   131.7924
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      30.000,     0.000   127.1440
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      35.000,     0.000   127.4315
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      40.000,     0.000   139.5025
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      45.000,     0.000   143.7330
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      50.000,     0.000   145.1795
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      35.000,     0.000   153.7919
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      40.000,     0.000   151.6038
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      45.000,     0.000   156.3514
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      50.000,     0.000   157.2965
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      55.000,     0.000   161.5263
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      40.000,     0.000   163.1202
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      45.000,     0.000   179.7913
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      50.000,     0.000   183.4354
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      55.000,     0.000   190.2061
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      60.000,     0.000   195.9707
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      45.000,     0.000   178.3530
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      50.000,     0.000   211.8773
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      55.000,     0.000   205.7659
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      60.000,     0.000   220.3924
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      50.000,     0.000   210.0105
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      55.000,     0.000   214.8898
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      60.000,     0.000   250.6719
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      55.000,     0.000   236.6902
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      60.000,     0.000   248.7407
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      65.000,     0.000   229.8089
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      60.000,     0.000   240.2655
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      65.000,     0.000   246.3548
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      70.000,     0.000   279.9668
4      0.000,     0.000       5.000,     0.000      60.000,     0.000      70.000,     0.000   285.0484
4      0.000,     0.000       5.000,     0.000      60.000,     0.000      75.000,     0.000   299.0077
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      75.000,     0.000   249.6756
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      80.000,     0.000   301.5135
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      90.000,     0.000   309.7143
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      85.000,     0.000   277.1783
4      0.000,     0.000       5.000,     0.000      70.000,     0.000      85.000,     0.000   330.3878
4      0.000,     0.000       5.000,     0.000      70.000,     0.000      95.000,     0.000   333.2484
4      0.000,     0.000       5.000,     0.000      70.000,     0.000      90.000,     0.000   312.8459
4      0.000,     0.000       5.000,     0.000      70.000,     0.000     100.000,     0.000   336.3439
4      0.000,     0.000       5.000,     0.000      75.000,     0.000      95.000,     0.000   321.4975
4      0.000,     0.000       5.000,     0.000      75.000,     0.000     100.000,     0.000   341.8845
4      0.000,     0.000       5.000,     0.000      75.000,     0.000     105.000,     0.000   332.8992
4      0.000,     0.000       5.000,     0.000      75.000,     0.000     110.000,     0.000   348.8292
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     100.000,     0.000   409.8125
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     105.000,     0.000   365.3013
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     110.000,     0.000   371.6737
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     115.000,     0.000   376.7958
4      0.000,     0.000       5.000,     0.000      85.000,     0.000     115.000,     0.000   358.2852
4      0.000,     0.000       5.000,     0.000      85.000,     0.000     120.000,     0.000   371.1232
4      0.000,     0.000       5.000,     0.000      85.000,     0.000     125.000,     0.000   353.4928
4      0.000,     0.000       5.000,     0.000      90.000,     0.000     130.000,     0.000   408.9333
4      0.000,     0.000       5.000,     0.000      90.000,     0.000     125.000,     0.000   360.2039
4      0.000,     0.000       5.000,     0.000     105.000,     0.000     230.000,     0.000   458.0795
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     220.000,     0.000   485.4346
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     230.000,     0.000   471.8275
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     225.000,     0.000   495.0353
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     235.000,     0.000   447.2849
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     215.000,     0.000   460.7569
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     210.000,     0.000   415.2173
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     205.000,     0.000   427.6742
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     200.000,     0.000   437.8334
4      0.000,     0.000      10.000,     0.000      15.000,     0.000      20.000,     0.000   104.3271
4      0.000,     0.000      10.000,     0.000      20.000,     0.000      30.000,     0.000   102.6202
4      0.000,     0.000      10.000,     0.000      20.000,     0.000      25.000,     0.000    97.4494
4      0.000,     0.000      10.000,     0.000      25.000,     0.000      35.000,     0.000   118.6066
4      0.000,     0.000      10.000,     0.000      25.000,     0.000      30.000,     0.000   117.9070
4      0.000,     0.000      10.000,     0.000      30.000,     0.000      40.000,     0.000   135.1530
4      0.000,     0.000      10.000,     0.000      30.000,     0.000      35.000,     0.000   132.8267
4      0.000,     0.000      10.000,     0.000      35.000,     0.000      45.000,     0.000   165.0895
4      0.000,     0.000      10.000,     0.000      35.000,     0.000      40.000,     0.000   147.9929
4      0.000,     0.000      10.000,     0.000      40.000,     0.000      50.000,     0.000   195.6062
4      0.000,     0.000      10.000,     0.000      40.000,     0.000      45.000,     0.000   166.6088
4      0.000,     0.000      10.000,     0.000      45.000,     0.000      55.000,     0.000   193.3511
4      0.000,     0.000      10.000,     0.000      45.000,     0.000      50.000,     0.000   188.2774
4      0.000,     0.000      10.000,     0.000      50.000,     0.000      60.000,     0.000   221.0128
4      0.000,     0.000      10.000,     0.000      50.000,     0.000      55.000,     0.000   215.2092
4      0.000,     0.000      10.000,     0.000      55.000,     0.000      65.000,     0.000   254.3093
4      0.000,     0.000      10.000,     0.000      55.000,     0.000      60.000,     0.000   239.8314
4      0.000,     0.000      10.000,     0.000      60.000,     0.000      70.000,     0.000   257.2208
4      0.000,     0.000      10.000,     0.000      60.000,     0.000      65.000,     0.000   257.2869
4      0.000,     0.000      10.000,     0.000      65.000,     0.000      75.000,     0.000   274.9850
4      0.000,     0.000      10.000,     0.000      65.000,     0.000      70.000,     0.000   273.7816
4      0.000,     0.000      10.000,     0.000      70.000,     0.000      80.000,     0.000   284.7977
4      0.000,     0.000      10.000,     0.000      70.000,     0.000      75.000,     0.000   288.6752
4      0.000,     0.000      10.000,     0.000      75.000,     0.000      85.000,     0.000   302.6314
4      0.000,     0.000      10.000,     0.000      75.000,     0.000      90.000,     0.000   329.7077
4      0.000,     0.000      10.000,     0.000      80.000,     0.000      90.000,     0.000   338.8599
4      0.000,     0.000      10.000,     0.000      80.000,     0.000      95.000,     0.000   322.1391
4      0.000,     0.000      10.000,     0.000      85.000,     0.000      95.000,     0.000   312.5326
4      0.000,     0.000      10.000,     0.000      85.000,     0.000     100.000,     0.000   317.3371
4      0.000,     0.000      10.000,     0.000      85.000,     0.000     105.000,     0.000   346.9178
4      0.000,     0.000      10.000,     0.000      90.000,     0.000     105.000,     0.000   373.6201
4      0.000,     0.000      10.000,     0.000      90.000,     0.000     110.000,     0.000   390.2566
4      0.000,     0.000      10.000,     0.000      95.000,     0.000     110.000,     0.000   346.2973
4      0.000,     0.000      10.000,     0.000      95.000,     0.000     115.000,     0.000   370.8533
4      0.000,     0.000      10.000,     0.000      95.000,     0.000     120.000,     0.000   398.3576
4      0.000,     0.000      10.000,     0.000     100.000,     0.000     120.000,     0.000   401.2120
4      0.000,     0.000      10.000,     0.000     100.000,     0.000     125.000,     0.000   358.0336
4      0.000,     0.000      10.000,     0.000     105.000,     0.000     125.000,     0.000   394.1932
4      0.000,     0.000      10.000,     0.000     105.000,     0.000     130.000,     0.000   429.8590
4      0.000,     0.000      10.000,     0.000     110.000,     0.000     170.000,     0.000   464.4438
4      0.000,     0.000      10.000,     0.000     110.000,     0.000     135.000,     0.000   448.1844
4      0.000,     0.000      10.000,     0.000     115.000,     0.000     210.000,     0.000   490.8649
4      0.000,     0.000      10.000,     0.000     115.000,     0.000     145.000,     0.000   423.2705
4      0.000,     0.000      10.000,     0.000     120.000,     0.000     155.000,     0.000   426.4072
4      0.000,     0.000      10.000,     0.000     125.000,     0.000     215.000,     0.000   552.1119
4      0.000,     0.000      10.000,     0.000     125.000,     0.000     165.000,     0.000   415.2261
4      0.000,     0.000      10.000,     0.000     130.000,     0.000     180.000,     0.000   485.8830
4      0.000,     0.000      10.000,     0.000     135.000,     0.000     220.000,     0.000   513.3336
4      0.000,     0.000      10.000,     0.000     135.000,     0.000     215.000,     0.000   514.6832
4      0.000,     0.000      10.000,     0.000     135.000,     0.000     195.000,     0.000   492.7806
4      0.000,     0.000      10.000,     0.000     135.000,     0.000     235.000,     0.000   511.0204
4      0.000,     0.000      10.000,     0.000     140.000,     0.000     230.000,     0.000   537.8983
4      0.000,     0.000      10.000,     0.000     140.000,     0.000     225.000,     0.000   485.7690
4      0.000,     0.000      10.000,     0.000     140.000,     0.000     235.000,     0.000   551.2215
4      0.000,     0.000      10.000,     0.000     140.000,     0.000     220.000,     0.000   454.1198
4      0.000,     0.000      10.000,     0.000     140.000,     0.000     215.000,     0.000   543.5127
4      0.000,     0.000      10.000,     0.000     140.000,     0.000     210.000,     0.000   457.3238
