symme-unsymme optimized array
5.000
11
0
Type of measurement (0=app. resistivity,1=resistance)
0
4092
1
0
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      15.000,     0.000   100.7809
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      20.000,     0.000   103.7977
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      25.000,     0.000    96.9759
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      20.000,     0.000   108.0516
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      25.000,     0.000   100.0159
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      30.000,     0.000   108.9092
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      35.000,     0.000   115.1499
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      40.000,     0.000   104.2383
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      25.000,     0.000   113.5107
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      30.000,     0.000   118.7659
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      35.000,     0.000   113.3567
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      40.000,     0.000   122.0033
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      45.000,     0.000   140.4244
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      50.000,     0.000   135.3919
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      30.000,     0.000   123.8107
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      35.000,     0.000   138.5286
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      40.000,     0.000   141.6927
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      45.000,     0.000   136.2392
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      50.000,     0.000   159.8552
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      35.000,     0.000   129.8117
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      40.000,     0.000   164.1286
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      45.000,     0.000   157.4881
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      50.000,     0.000   157.0404
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      55.000,     0.000   159.2894
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      40.000,     0.000   169.8965
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      45.000,     0.000   164.5890
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      50.000,     0.000   184.6924
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      55.000,     0.000   164.9571
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      60.000,     0.000   187.3220
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      45.000,     0.000   187.0536
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      50.000,     0.000   196.7664
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      55.000,     0.000   201.6896
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      60.000,     0.000   208.9183
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      50.000,     0.000   209.5283
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      55.000,     0.000   217.5409
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      60.000,     0.000   227.7058
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      55.000,     0.000   204.3550
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      60.000,     0.000   226.6871
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      65.000,     0.000   225.4838
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      60.000,     0.000   237.3261
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      65.000,     0.000   255.5516
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      70.000,     0.000   263.9610
4      0.000,     0.000       5.000,     0.000      60.000,     0.000      70.000,     0.000   254.3326
4      0.000,     0.000       5.000,     0.000      60.000,     0.000      75.000,     0.000   293.7309
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      75.000,     0.000   287.4117
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      80.000,     0.000   312.4591
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      90.000,     0.000   349.6221
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      85.000,     0.000   293.4380
4      0.000,     0.000       5.000,     0.000      70.000,     0.000      85.000,     0.000   303.0229
4      0.000,     0.000       5.000,     0.000      70.000,     0.000      95.000,     0.000   338.0623
4      0.000,     0.000       5.000,     0.000      70.000,     0.000      90.000,     0.000   338.2848
4      0.000,     0.000       5.000,     0.000      70.000,     0.000     100.000,     0.000   303.3453
4      0.000,     0.000       5.000,     0.000      75.000,     0.000      95.000,     0.000   327.7700
4      0.000,     0.000       5.000,     0.000      75.000,     0.000     100.000,     0.000   341.6918
4      0.000,     0.000       5.000,     0.000      75.000,     0.000     105.000,     0.000   339.6734
4      0.000,     0.000       5.000,     0.000      75.000,     0.000     110.000,     0.000   341.7738
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     100.000,     0.000   335.1390
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     105.000,     0.000   350.2388
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     110.000,     0.000   352.4034
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     115.000,     0.000   371.5325
4      0.000,     0.000       5.000,     0.000      85.000,     0.000     115.000,     0.000   343.5148
4      0.000,     0.000       5.000,     0.000      85.000,     0.000     120.000,     0.000   371.8511
4      0.000,     0.000       5.000,     0.000      85.000,     0.000     125.000,     0.000   376.7041
4      0.000,     0.000       5.000,     0.000      90.000,     0.000     130.000,     0.000   358.4077
4      0.000,     0.000       5.000,     0.000      90.000,     0.000     125.000,     0.000   401.6986
4      0.000,     0.000       5.000,     0.000     105.000,     0.000     230.000,     0.000   478.8593
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     220.000,     0.000   449.5324
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     230.000,     0.000   502.6697
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     225.000,     0.000   431.8147
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     235.000,     0.000   457.3877
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     215.000,     0.000   484.6052
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     210.000,     0.000   448.7021
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     205.000,     0.000   458.6773
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     200.000,     0.000   491.8478
4      0.000,     0.000      10.000,     0.000      15.000,     0.000      20.000,     0.000    97.3745
4      0.000,     0.000      10.000,     0.000      20.000,     0.000      30.000,     0.000   110.3689
4      0.000,     0.000      10.000,     0.000      20.000,     0.000      25.000,     0.000   100.6389
4      0.000,     0.000      10.000,     0.000      25.000,     0.000      35.000,     0.000   127.3472
4      0.000,     0.000      10.000,     0.000      25.000,     0.000      30.000,     0.000   109.6334
4      0.000,     0.000      10.000,     0.000      30.000,     0.000      40.000,     0.000   150.6626
4      0.000,     0.000      10.000,     0.000      30.000,     0.000      35.000,     0.000   127.9418
4      0.000,     0.000      10.000,     0.000      35.000,     0.000      45.000,     0.000   143.5645
4      0.000,     0.000      10.000,     0.000      35.000,     0.000      40.000,     0.000   163.0851
4      0.000,     0.000      10.000,     0.000      40.000,     0.000      50.000,     0.000   192.9237
4      0.000,     0.000      10.000,     0.000      40.000,     0.000      45.000,     0.000   185.5553
4      0.000,     0.000      10.000,     0.000      45.000,     0.000      55.000,     0.000   191.9732
4      0.000,     0.000      10.000,     0.000      45.000,     0.000      50.000,     0.000   213.2042
4      0.000,     0.000      10.000,     0.000      50.000,     0.000      60.000,     0.000   215.0513
4      0.000,     0.000      10.000,     0.000      50.000,     0.000      55.000,     0.000   216.0596
4      0.000,     0.000      10.000,     0.000      55.000,     0.000      65.000,     0.000   244.6194
4      0.000,     0.000      10.000,     0.000      55.000,     0.000      60.000,     0.000   220.4489
4      0.000,     0.000      10.000,     0.000      60.000,     0.000      70.000,     0.000   276.9260
4      0.000,     0.000      10.000,     0.000      60.000,     0.000      65.000,     0.000   258.9388
4      0.000,     0.000      10.000,     0.000      65.000,     0.000      75.000,     0.000   290.8807
4      0.000,     0.000      10.000,     0.000      65.000,     0.000      70.000,     0.000   299.4255
4      0.000,     0.000      10.000,     0.000      70.000,     0.000      80.000,     0.000   288.1209
4      0.000,     0.000      10.000,     0.000      70.000,     0.000      75.000,     0.000   286.8615
4      0.000,     0.000      10.000,     0.000      75.000,     0.000      85.000,     0.000   337.4670
4      0.000,     0.000      10.000,     0.000      75.000,     0.000      90.000,     0.000   323.4131
4      0.000,     0.000      10.000,     0.000      80.000,     0.000      90.000,     0.000   326.8117
4      0.000,     0.000      10.000,     0.000      80.000,     0.000      95.000,     0.000   305.6592
4      0.000,     0.000      10.000,     0.000      85.000,     0.000      95.000,     0.000   348.9758
4      0.000,     0.000      10.000,     0.000      85.000,     0.000     100.000,     0.000   363.2517
4      0.000,     0.000      10.000,     0.000      85.000,     0.000     105.000,     0.000   358.4536
4      0.000,     0.000      10.000,     0.000      90.000,     0.000     105.000,     0.000   359.9474
4      0.000,     0.000      10.000,     0.000      90.000,     0.000     110.000,     0.000   387.9392
