48_Symme_flat_confi_optim
5.000
11
0
Type of measurement (0=app. resistivity,1=resistance)
0
4092
1
0
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      15.000,     0.000   100.9063
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      20.000,     0.000    98.2053
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      25.000,     0.000   104.2192
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      30.000,     0.000   116.4747
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      35.000,     0.000   152.7900
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      40.000,     0.000   156.6155
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      45.000,     0.000   189.1580
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      50.000,     0.000   201.7700
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      55.000,     0.000   244.4901
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      60.000,     0.000   236.5788
4      0.000,     0.000      10.000,     0.000      85.000,     0.000      95.000,     0.000   355.5259
4      0.000,     0.000      10.000,     0.000      75.000,     0.000      85.000,     0.000   326.2639
4      0.000,     0.000      10.000,     0.000      70.000,     0.000      80.000,     0.000   301.7034
4      0.000,     0.000      10.000,     0.000      65.000,     0.000      75.000,     0.000   298.2839
4      0.000,     0.000      10.000,     0.000      80.000,     0.000      90.000,     0.000   317.8984
4      0.000,     0.000      10.000,     0.000      60.000,     0.000      70.000,     0.000   271.2989
4      0.000,     0.000      10.000,     0.000      55.000,     0.000      65.000,     0.000   231.4564
4      0.000,     0.000      10.000,     0.000      30.000,     0.000      40.000,     0.000   135.5200
4      0.000,     0.000      10.000,     0.000      35.000,     0.000      45.000,     0.000   169.3114
4      0.000,     0.000      10.000,     0.000      40.000,     0.000      50.000,     0.000   194.1219
4      0.000,     0.000      10.000,     0.000      45.000,     0.000      55.000,     0.000   194.9582
4      0.000,     0.000      10.000,     0.000      25.000,     0.000      35.000,     0.000   128.9764
4      0.000,     0.000      10.000,     0.000      50.000,     0.000      60.000,     0.000   212.4929
4      0.000,     0.000      10.000,     0.000      20.000,     0.000      30.000,     0.000   102.8489
4      0.000,     0.000      10.000,     0.000      15.000,     0.000      25.000,     0.000    97.1397
4      0.000,     0.000      15.000,     0.000      95.000,     0.000     110.000,     0.000   343.2516
4      0.000,     0.000      15.000,     0.000      90.000,     0.000     105.000,     0.000   332.9488
4      0.000,     0.000      15.000,     0.000     100.000,     0.000     115.000,     0.000   357.8716
4      0.000,     0.000      15.000,     0.000       5.000,     0.000      10.000,     0.000   106.8920
4      0.000,     0.000      15.000,     0.000      85.000,     0.000     100.000,     0.000   357.2253
4      0.000,     0.000      15.000,     0.000     110.000,     0.000     125.000,     0.000   394.9167
4      0.000,     0.000      15.000,     0.000     105.000,     0.000     120.000,     0.000   391.1224
4      0.000,     0.000      15.000,     0.000      70.000,     0.000      85.000,     0.000   283.3599
4      0.000,     0.000      15.000,     0.000      75.000,     0.000      90.000,     0.000   327.5931
4      0.000,     0.000      15.000,     0.000      80.000,     0.000      95.000,     0.000   321.8939
4      0.000,     0.000      15.000,     0.000      65.000,     0.000      80.000,     0.000   285.5301
4      0.000,     0.000      15.000,     0.000      60.000,     0.000      75.000,     0.000   262.5151
4      0.000,     0.000      15.000,     0.000      55.000,     0.000      70.000,     0.000   259.5567
4      0.000,     0.000      15.000,     0.000      45.000,     0.000      60.000,     0.000   193.3149
4      0.000,     0.000      15.000,     0.000      50.000,     0.000      65.000,     0.000   222.1709
4      0.000,     0.000      15.000,     0.000      40.000,     0.000      55.000,     0.000   167.6962
4      0.000,     0.000      15.000,     0.000      35.000,     0.000      50.000,     0.000   155.4710
4      0.000,     0.000      15.000,     0.000      30.000,     0.000      45.000,     0.000   141.9280
4      0.000,     0.000      15.000,     0.000      25.000,     0.000      40.000,     0.000   112.7173
4      0.000,     0.000      15.000,     0.000      20.000,     0.000      35.000,     0.000   108.8394
4      0.000,     0.000      20.000,     0.000     125.000,     0.000     145.000,     0.000   397.8246
4      0.000,     0.000      20.000,     0.000     130.000,     0.000     150.000,     0.000   407.9812
4      0.000,     0.000      20.000,     0.000     120.000,     0.000     140.000,     0.000   409.9462
4      0.000,     0.000      20.000,     0.000     135.000,     0.000     155.000,     0.000   474.6817
4      0.000,     0.000      20.000,     0.000     115.000,     0.000     135.000,     0.000   414.6061
4      0.000,     0.000      20.000,     0.000       5.000,     0.000      15.000,     0.000   107.0987
4      0.000,     0.000      20.000,     0.000     110.000,     0.000     130.000,     0.000   374.7240
4      0.000,     0.000      20.000,     0.000     105.000,     0.000     125.000,     0.000   389.3226
4      0.000,     0.000      20.000,     0.000     100.000,     0.000     120.000,     0.000   343.5892
4      0.000,     0.000      20.000,     0.000      95.000,     0.000     115.000,     0.000   348.5661
